tid,gender,tDept,Enroll,Evals Made,Eval/Enroll,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,rEasy,rHelpful,rInterest,rOverall,rWouldTakeAgain,rmp Grade,sentimentValue,teacherRatingTags,rmp Evals/Enroll,rmp Evals
37152,-1.0,PSYC,3600,2006,0.5572222222222222,0.9505383848454637,0.9240812562313061,5.082986041874377,3.535322255790534,3.201330178759201,2.788732394366197,4.028169014084507,3.3846153846153846,4.035211267605634,0.5833333333333334,3.5700000000000003,0.18148193145317554,"""Skip class? You won t pass."",Caring,Amazing lectures,Get ready to read,Accessible outside class,Tough grader,Lecture heavy,Graded by few things,Test heavy,Gives good feedback,Clear grading criteria,EXTRA CREDIT,",0.01972222222222222,71.0
37291,-1.0,REV,238,153,0.6428571428571429,0.834764705882353,0.979529411764706,1.46,3.9047058823529417,,3.046511627906977,4.093023255813954,3.7941176470588234,4.116279069767442,0.75,3.814285714285714,0.2636101388229711,"Lots of homework,Get ready to read,""Skip class? You won t pass."",Hilarious,Participation matters,Clear grading criteria,Gives good feedback,Tough grader,Caring,Respected,",0.18067226890756302,43.0
37538,1.0,POLI,25602,7196,0.2810717912663073,0.9835831017231796,0.9915414118954974,3.5940439132851565,3.9495870985680517,3.8967548526240128,1.4938271604938271,4.697530864197531,4.201612903225806,4.79320987654321,0.9642857142857143,3.944827586206897,0.35281131117804404,"Amazing lectures,Respected,Caring,Accessible outside class,Graded by few things,Inspirational,Clear grading criteria,Hilarious,Gives good feedback,Get ready to read,",0.006327630653855168,162.0
57718,1.0,PHIL,6266,2686,0.42866262368337055,0.8566295606850336,0.9481377513030528,4.505014892032763,3.366247207743856,2.8707467166979357,2.5081967213114753,4.172131147540983,3.3734939759036147,4.327868852459017,1.0,3.7142857142857144,0.23346503588570336,"Hilarious,Get ready to read,Clear grading criteria,Accessible outside class,Amazing lectures,Caring,EXTRA CREDIT,Graded by few things,Respected,Test heavy,Lecture heavy,Inspirational,""Skip class? You won t pass."",Participation matters,Tough grader,Gives good feedback,",0.01947015639961698,122.0
58629,-1.0,PHYS,488,246,0.5040983606557377,0.8734512195121951,0.6721382113821139,6.887154471544715,3.0154471544715444,2.945606694560669,2.8,3.0,3.5,3.1,,,0.1028505291005291,,0.010245901639344262,5.0
61357,1.0,PHIL,1547,618,0.3994828700711054,0.6535533980582524,0.7126472491909386,5.003462783171522,3.1063915857605178,2.819831932773109,3.393939393939394,3.3333333333333335,3.36,3.0303030303030303,0.0,,0.08924838664421997,"Graded by few things,Participation matters,""Skip class? You won t pass."",Get ready to read,",0.021331609566903685,33.0
62676,-1.0,MAE,1474,626,0.42469470827679784,0.90558785942492,0.931929712460064,7.058658146964856,3.1280830670926516,2.602156549520767,3.1363636363636362,4.545454545454546,3.7222222222222223,4.511363636363637,1.0,3.6666666666666665,0.2421746265999513,"Clear grading criteria,Respected,Amazing lectures,",0.029850746268656716,44.0
63531,1.0,CSE,25178,13460,0.5345936929065057,0.8528873699851416,0.7992263001485886,7.715063893016344,3.5199037433155094,3.1438679565512557,3.847058823529412,3.223529411764706,3.8703703703703702,3.1558823529411764,0.5111111111111111,3.53695652173913,0.07631638202613343,"Lecture heavy,Accessible outside class,Caring,Respected,Lots of homework,Amazing lectures,Gives good feedback,Tough grader,""Skip class? You won t pass."",Inspirational,Hilarious,Test heavy,EXTRA CREDIT,Clear grading criteria,Group projects,Get ready to read,Participation matters,",0.006751926284851855,170.0
63795,,SOCI,2419,1177,0.4865646961554361,0.8333695836873409,0.862963466440102,4.179031435853866,3.362280102476517,3.094270724029381,3.074074074074074,3.4444444444444446,2.5555555555555554,3.3703703703703702,0.8333333333333334,4.0,0.0193210843634124,"""Skip class? You won t pass."",Gives good feedback,Caring,Get ready to read,Amazing lectures,Graded by few things,EXTRA CREDIT,Accessible outside class,Clear grading criteria,",0.011161637040099214,27.0
66779,1.0,CAT,2023,911,0.45032130499258527,0.9239198682766192,0.9694709110867178,3.7217892425905594,3.584566410537871,3.392461368653422,2.072463768115942,4.492753623188406,4.051282051282051,4.659420289855072,1.0,3.94,0.2898425699367729,"Inspirational,Hilarious,""Skip class? You won t pass."",Participation matters,Respected,Gives good feedback,Caring,Amazing lectures,Lecture heavy,Test heavy,Clear grading criteria,",0.034107760751359364,69.0
66780,1.0,CAT,737,286,0.3880597014925373,0.757353146853147,0.4264755244755245,4.331083916083916,3.661643356643356,3.5127777777777776,2.4210526315789473,2.3684210526315788,4.0,2.473684210526316,,,-0.029478331244778617,,0.025780189959294438,19.0
75488,1.0,INTL,1824,649,0.35581140350877194,0.8202326656394452,0.8311402157164868,4.850862865947612,3.508674884437596,3.142015873015873,3.4411764705882355,2.8823529411764706,3.2,2.7941176470588234,,,-0.019398239628019044,"Get ready to read,",0.01864035087719298,34.0
76370,-1.0,COGS,21846,9878,0.4521651560926485,0.8681000202470136,0.7456692650334074,4.849560639805628,3.5063646487143147,3.1961880271549066,3.0,2.8743718592964824,3.0,2.937185929648241,0.6,3.5027027027027033,0.0881059906471937,"""Skip class? You won t pass."",Participation matters,Lots of homework,Clear grading criteria,Tough grader,Caring,Hilarious,Gives good feedback,Lecture heavy,Accessible outside class,Test heavy,Respected,EXTRA CREDIT,Amazing lectures,Beware of pop quizzes,Inspirational,",0.009109219079007599,199.0
79446,1.0,INTL,360,221,0.6138888888888889,0.9072941176470588,0.8755701357466064,6.178054298642534,3.485384615384615,3.3968115942028985,2.8,4.1,3.375,4.35,,3.7,0.26489087301587305,,0.027777777777777776,10.0
